Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Комар,Аарон,Андрійович,Чоловіча,2003-02-17,Редактор,місто Люботин,"парк 13-та ст. Великого Фонтану пляж, буд. 8 кв. 720, Підгородне, 12357",+380 02 951-04-25,heorhii35@example.org
Данчук,Ілля,Володимирович,Чоловіча,1994-07-25,Шериф,хутір Бережани,"проспект Крайня, буд. 02, Брянка, 05475",653-34-19,qbabych@example.org
Слюсар,Зиновій,Олександрович,Чоловіча,1971-01-21,Журналіст,хутір Глухів,"узвіз Саймона Літмана, буд. 50 кв. 472, Шахтарськ, 48359",092 034-80-65,talekseienko@example.org
Чумаченко,Микита,Володимирович,Чоловіча,1949-05-13,Математик,селище Валки,"вулиця Юннатів 1-й, буд. 9 кв. 0, Шахтарське, 44585",202 08 43,zynoviisomko@example.net
Міщенко,Аркадій,Павлович,Чоловіча,1956-11-28,Каскадер,хутір Люботин,"узвіз Західний 2-й, буд. 14 кв. 9, Залізне, 67797",+380 (95) 879-00-29,tparasiuk@example.org
Аверченко,Єфрем,Анатолійович,Чоловіча,2000-11-29,Палеонтолог,селище Фастів,"узвіз Квіткова, буд. 084 кв. 656, Березівка, 94451",056 72 27,mykhailotsiupa@example.com
Проценко,Опанас,Михайлович,Чоловіча,1965-12-12,Лікар,село Ананьїв,"проспект Академіка Липського, буд. 1, Тульчин, 81265",+380 00 687-41-93,pustovitsnizhana@example.org
Гоголь,Богодар,Андрійович,Чоловіча,1957-05-07,Секретар,селище Борщів,"вулиця Садова 2-га, буд. 31 кв. 003, Бахмач, 62118",+380 14 752 88 41,sofiia86@example.net
Величко,Зиновій,Іванович,Чоловіча,1950-07-13,Науковець,хутір Коростишів,"парк Шкіперська, буд. 19 кв. 3, Славута, 69656",+380 82 200-50-85,panas46@example.com
Байрак,Леонтій,Андрійович,Чоловіча,1959-12-04,Публіцист,село Олександрівськ,"парк Каменярів, буд. 2 кв. 116, Куп'янськ, 70923",005 277 96 89,starasenko@example.net
Носаченко,Георгій,Юрійович,Чоловіча,1956-10-12,Складальник,село Заліщики,"провулок 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 499, Кагарлик, 29130",+380 68 816-82-32,iosyp35@example.net
Доценко,Аркадій,Анатолійович,Чоловіча,1943-03-26,Ріелтор,хутір Южне,"проспект Бутишів, буд. 0 кв. 149, Хмільник, 01837",+380 42 094-53-69,yiaremenko@example.org
Ільєнко,Вʼячеслав,Іванович,Чоловіча,1942-12-28,Дипломат,хутір Голубівка,"узвіз Буковинська, буд. 3 кв. 97, Лебедин, 49335",+380 79 615-18-11,iashchenkobohdan@example.com
Петренко,Демʼян,Сергійович,Чоловіча,1970-01-28,Машиніст,хутір Бахмут,"парк Юрія Олеші, буд. 08, Середина-Буда, 99368",717-61-57,markovashchuk@example.net
Запорожець,Арсен,Михайлович,Чоловіча,1992-07-18,Професор,селище Гайворон,"набережна Станційна 3-тя, буд. 4, Шостка, 83124",+380 91 660-05-95,shchyrytsiaorest@example.net
Гупало,Єлисей,Володимирович,Чоловіча,1949-06-26,Антрополог,хутір Ізяслав,"провулок 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 587 кв. 66, Новоселиця, 48881",519 36 60,lysenkoartem@example.org
Вишняк,Омелян,Володимирович,Чоловіча,1983-01-06,Хімік,хутір Саки,"сквер Ольги Благовидової, буд. 530 кв. 0, Торецьк, 35601",+380 49 095-56-54,zaichenkoiukhym@example.org
Лубенець,Пантелеймон,Петрович,Чоловіча,1949-02-06,Намотувальник,хутір Ананьїв,"вулиця Машинобудівний, буд. 72, Дубно, 68202",982-26-08,trokhymzasiadko@example.com
Овчаренко,Болеслав,Володимирович,Чоловіча,1953-04-22,Круп'є,село Попасна,"проспект Заможна, буд. 41 кв. 5, Бахмут, 03611",074 450-41-69,cnestaiko@example.org
Скиба,Аврелій,Олександрович,Чоловіча,1999-03-19,Ді-джей,селище Конотоп,"вулиця 411-ї батареї, буд. 07, Горохів, 84761",+380 (43) 515-84-73,vadymishchenko@example.org
Макогон,Венедикт,Павлович,Чоловіча,1996-09-02,Патологоанатом,місто Вільнянськ,"парк Килимова, буд. 75, Бровари, 38179",137-79-38,iryna40@example.org
Ященко,Олександр,Михайлович,Чоловіча,1945-12-11,Мистецтвознавець,хутір Українка,"набережна Персикова, буд. 384 кв. 0, Монастириська, 67555",+380 (10) 277-70-83,leopoldiefymenko@example.org
Павличенко,Григорій,Володимирович,Чоловіча,1970-05-11,Графік,хутір Рогатин,"узвіз Чорноморський, буд. 42 кв. 615, Бережани, 32733",056 354 82 32,jdarahan@example.com
Цюпа,Марко,Іванович,Чоловіча,1971-08-12,Випробувач,село Новоград-Волинський,"сквер Восьмого Березня Лінія 1-ша, буд. 2 кв. 46, Чигирин, 77627",+380 (03) 572-04-96,xatamanchuk@example.com
Стельмах,Демʼян,Павлович,Чоловіча,1974-09-29,Ґрунтознавець,селище Ніжин,"провулок Уральська, буд. 22, Ладижин, 64452",038 813 33 23,artemzabara@example.com
Заїка,Віктор,Олександрович,Чоловіча,1967-05-16,Музикант,село Сновськ,"узвіз Пересипський 1-й, буд. 764 кв. 92, Львів, 09489",+380 (37) 515-94-85,zhaliloalina@example.net
Дубина,Антон,Іванович,Чоловіча,2003-07-23,Геолог,село Ковель,"сквер Байкал тупик, буд. 80, Дрогобич, 81823",007 873-58-66,iukhym88@example.org
Гук,Антон,Володимирович,Чоловіча,1971-03-12,Няня,місто Куп'янськ,"узвіз Лінія 24-та, буд. 275 кв. 9, Рудки, 99113",+380 63 128-01-97,ishchakmaksym@example.org
Баран,Юхим,Петрович,Чоловіча,1952-08-07,Краєзнавець,селище Чоп,"узвіз Ліверпульський, буд. 4 кв. 760, Добропілля, 69628",+380 16 142-82-60,viacheslavsimashkevych@example.com
Абрамчук,Пилип,Олександрович,Чоловіча,1939-08-26,Астронавт,село Очаків,"шосе Лютеранський, буд. 3, Могилів-Подільський, 99382",087 909-76-19,larysatsymbaliuk@example.com
Баштан,Микита,Андрійович,Чоловіча,2005-11-27,Перекладач,селище Баштанка,"площа Дружний, буд. 83 кв. 0, Ніжин, 90584",234-11-78,wisaievych@example.org
Охримович,Зорян,Сергійович,Чоловіча,1991-08-06,Прокурор,хутір Карлівка,"площа Одеський, буд. 883 кв. 370, Заводське, 35951",431 34 41,anitababych@example.net
Матяш,Аарон,Андрійович,Чоловіча,1974-09-27,Гірник,село Біла Церква,"узвіз Золотий берег, буд. 41 кв. 3, Торецьк, 42561",+380 68 471 67 20,khrystynaiurchyshyn@example.com
